Numéro de course,Taille,Pays,Nom du circuit
1,5.412,Bahrain,Bahrain International Circuit
2,6.174,Arabie Saoudite,Jeddah Corniche Circuit
3,5.278,Australie,Albert Park Circuit
4,6.003,Azerbaijan,Baku City Circuit
5,5.41,Etats-Unis,Miami International Autodrome
6,3.337,Monaco,Circuit de Monaco
7,4.675,Espagne,Circuit de Barcelona-Catalunya
8,4.361,Canada,Circuit Gilles-Villeneuve
9,4.318,Autriche,Red Bull Ring
10,5.891,Royaume Uni,Silverstone Circuit
11,4.381,Hongrie,Hungaroring
12,7.004,Belgique,Circuit de Spa-Francorchamps
13,4.259,Pays-Bas,Circuit Zandvoort
14,5.793,Italie,Autodromo Nazionale di Monza
15,5.063,Singapour,Marina Bay Street Circuit
16,5.807,Japon,Suzuka International Racing Course
17,5.418,Qatar,Losail International Circuit
18,5.513,Etats-Unis,Circuit of the Americas
19,4.304,Mexique,Autódromo Hermanos Rodríguez
20,4.309,Brésil,Autódromo José Carlos Pace
21,6.12,Etats-Unis,Circuit Silver Las Vegas
22,5.281,Emirats Arabes Unis,Yas Marina Circuit
